属性id	属性名	策划用	属性名id	属性类型（0：货币，1：战斗属性，2：经济属性）	属性说明
id	name	#	name_id	type	#
1	cash	钞票	500001	0	基础资源类
2	oil	石油	500002	0	基础资源类
3	earth	稀土	500003	0	基础资源类
4	stell	钢材	500004	0	基础资源类
5	diamond	钻石	500005	0	硬货币
6	token	商城货币	500006	0	货币
101	power	功率	500007	1	配件和车体可能带有该属性，所有配件的功率总合应该大于0 （例子：底盘的功率为100，配件1功率为-50，配件2功率为-40）
102	load	负载	500008	1	逻辑同上
103	electricity	电力	500009	1	逻辑同上
104	damage	伤害	500010	1	每次造成伤害的能力
105	defense	防御	500011	1	防御率=防御/（防御+攻击）
106	hp	血量	500012	1	承当伤害的能力
107	electricity_damage	电磁伤害	500013	1	每次造成属性伤害的能力
108	electricity_defense	电磁抗性	500014	1	属性抗性率=属性抗性/（属性抗性+属性伤害）
109	energy_damage	动能伤害	500015	1	每次造成属性伤害的能力
110	energy_defense	动能抗性	500016	1	属性抗性率=属性抗性/（属性抗性+属性伤害）
111	heat_damage	热能伤害	500017	1	每次造成属性伤害的能力
112	heat_defense	热能抗性	500018	1	属性抗性率=属性抗性/（属性抗性+属性伤害）
113	laser_damage	激光伤害	500019	1	每次造成属性伤害的能力
114	laser_defense	激光抗性	500020	1	属性抗性率=属性抗性/（属性抗性+属性伤害）
115	hit	命中等级	500021	1	造成命中的能力（用公式转换成百分比）
116	dodge	闪避等级	500022	1	造成闪避的能力（用公式转换成百分比）
117	crit	暴击伤害倍数	500023	1	暴击伤害倍数
118	critical	暴击等级	500024	1	造成暴击的能力（用公式转换成百分比）
119	toughness	韧性等级	500025	1	躲避暴击的能力（用公式转换成百分比）
120	attack_rate	攻击频率	500026	1	每秒攻击次数的倒数
121	range	射程	500027	1	攻击距离
122	speed_base	移动速度	500028	1	在基地战斗的移动速度
123	speed_fight	战斗移动速度	500029	1	大地图PVP战斗时的移动速度
124	speed_monster	打怪移动速度	500030	1	大地图打怪时的移动速度
125	speed_gather	采集移动速度	500031	1	大地图采集战斗时的移动速度
126	speed_summon	集结移动速度	500032	1	大地图集结战斗时的移动速度
127	weight	采集负重	500033	1	采集资源负重的能力
128	seeking_distance	索敌距离	500034	1	进入索敌距离内，才能开启索敌模式
129	seeking_num	索敌数量	500035	1	搜索敌人的数量
130	seeking_time	索敌时间	500036	1	索敌时间=（车体半径，雷达强度）（具体公式待定）
131	radar_intensity	雷达强度	500037	1	索敌时间的参数
132	radius	车体半径	500038	1	索敌时间的参数
201	power_per	功率+%	500039	1	增加对应属性的百分比（约定1+X）
202	load_per	负载+%	500040	1	同上
203	electricity_per	电力+%	500041	1	同上
204	damage_per	伤害+%	500042	1	同上
205	defense_per	防御+%	500043	1	同上
206	hp_per	血量+%	500044	1	同上
207	electricity_damage_per	电磁伤害+%	500045	1	同上
208	electricity_defense_per	电磁抗性+%	500046	1	同上
209	energy_damage_per	动能伤害+%	500047	1	同上
210	energy_defense_per	动能抗性+%	500048	1	同上
211	heat_damage_per	热能伤害+%	500049	1	同上
212	heat_defense_per	热能抗性+%	500050	1	同上
213	laser_damage_per	激光伤害+%	500051	1	同上
214	laser_defense_per	激光抗性+%	500052	1	同上
215	hit_per	命中等级+%	500053	1	同上
216	dodge_per	闪避等级+%	500054	1	同上
217	crit_per	暴击伤害倍数+%	500055	1	同上
218	critical_per	暴击等级+%	500056	1	同上
219	toughness_per	韧性等级+%	500057	1	同上
220	attack_rate_per	攻击频率+%	500058	1	同上
221	range_per	射程+%	500059	1	同上
222	speed_base_per	移动速度+%	500060	1	同上
223	speed_fight_per	战斗移动速度+%	500061	1	同上
224	speed_monster_per	打怪移动速度+%	500062	1	同上
225	speed_gather_per	采集移动速度+%	500063	1	同上
226	speed_summon_per	集结移动速度+%	500064	1	同上
227	weight_per	采集负重+%	500065	1	同上
228	seeking_distance_per	索敌距离+%	500066	1	同上
229	seeking_num_per	索敌数量+%	500067	1	同上
230	seeking_time_per	索敌时间+%	500068	1	同上
231	radar_intensity_per	雷达强度+%	500069	1	同上
232	radius_per	车体半径+%	500070	1	同上
301	cash_produce_rate	钞票生产率提高%	500071	2	增加基地钞票工厂的产生速度（例子：工厂基础的产量为50每小时，该字段填入0.5，则现在产量为75）
302	oil_produce_rate	石油生产率提高%	500072	2	同上
303	earth_produce_rate	稀土生产率提高%	500073	2	同上
304	steel_produce_rate	钢材生产率提高%	500074	2	同上
305	cash_gather_rate	钞票采集速度提高%	500075	2	提高资源点的采集速度
306	oil_gather_rate	石油采集速度提高%	500076	2	同上
307	earth_gather_rate	稀土采集速度提高%	500077	2	同上
308	steel_gather_rate	钢材采集速度提高%	500078	2	同上
309	diamond_gather_rate	钻石采集速度提高%	500079	2	同上
